ēns,ūrus,us,endus
ere,isse,ūrus esse,ī,us esse
ō,ēbam,am,ī,eram,erō,or,ēbar,ar,us sum,us eram,us erō
is,ēbās,ēs,istī,erās,eris,eris,ēbāris,ēris,us es,us erās,us eris
it,ēbat,et,it,erat,erit,itur,ēbātur,ētur,us est,us erat,us erit
imus,ēbāmus,ēmus,imus,erāmus,erimus,imur,ēbāmur,ēmur,ī sumus,ī erāmus,ī erimus,
itis,ēbātis,ētis,istis,erātis,eritis,iminī,ēbāminī,ēminī,ī estis,ī erātis,ī eritis
unt,ēbant,ent,ērunt,erant,erint,untur,ēbantur,entur,ī sunt,ī erant,ī erunt
am,erem,erim,issem,ar,erer,us sim,us essem
ās,erēs,eris,issēs,āris,erēris,us sīs,us essēs
at,eret,erit,isset,ātur,erētur,us sit,us esset
āmus,erēmus,erimus,issēmus,āmur,erēmur,ī sīmus,ī essēmus
ātis,erētis,eritis,issētis,āminī,erēminī,ī sītis,ī essētis
ant,erent,erint,issent,antur,erentur,ī sint,ī essent
e,ite,ere,iminī